ID,Y,公告发布时间_x,2018年_上市公司供应商信息_项目名称,2018年_上市公司供应商信息_供应商中标价格,2019年_上市公司供应商信息_项目名称,2019年_上市公司供应商信息_供应商中标价格,2020年_上市公司供应商信息_项目名称,2020年_上市公司供应商信息_供应商中标价格,2021年_上市公司供应商信息_项目名称,2021年_上市公司供应商信息_供应商中标价格,2022年_上市公司供应商信息_项目名称,2022年_上市公司供应商信息_供应商中标价格,2023年_上市公司供应商信息_项目名称,2023年_上市公司供应商信息_供应商中标价格,公告发布时间_y,2018年_央企供应商信息_项目名称,2018年_央企供应商信息_中标价格,2019年_央企供应商信息_项目名称,2019年_央企供应商信息_中标价格,2020年_央企供应商信息_项目名称,2020年_央企供应商信息_中标价格,2021年_央企供应商信息_项目名称,2021年_央企供应商信息_中标价格,2022年_央企供应商信息_项目名称,2022年_央企供应商信息_中标价格,2023年_央企供应商信息_项目名称,2023年_央企供应商信息_中标价格,公告发布时间,2018年_政府供应商信息_项目名称,2018年_政府供应商信息_中标价格,2019年_政府供应商信息_项目名称,2019年_政府供应商信息_中标价格,2020年_政府供应商信息_项目名称,2020年_政府供应商信息_中标价格,2021年_政府供应商信息_项目名称,2021年_政府供应商信息_中标价格,2022年_政府供应商信息_项目名称,2022年_政府供应商信息_中标价格,2023年_政府供应商信息_项目名称,2023年_政府供应商信息_中标价格
corp_1004263,0.0,5.0,,,,,,,,,,,,,6.0,3.0,836690.0,12.0,885000.0,14.0,5936860.0,15.0,3062587.92,10.0,1710000.0,1.0,60000.0,7.0,,,4.0,364500.0,22.0,6999680.0,34.0,13889880.0,28.0,7218250.0,1.0,0.0
corp_1000002,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,29960000.0,,,,,,,,,,,,,,,
corp_1002300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004959,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004960,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000545,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002612,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002512,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
corp_1002042,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000635,0.0,3.0,,,,,,,,,,,,,6.0,1.0,0.0,2.0,0.0,6.0,9936000.0,2.0,6000000.0,4.0,18340000.0,2.0,10960000.0,11.0,3.0,2894075.0,2.0,21785500.0,3.0,2300000.0,4.0,5707700.0,3.0,10527300.0,,
corp_1003294,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
corp_1002085,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000885,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,5420000.0,,,,
corp_1000520,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004612,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002266,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,1592000.0,1.0,260000.0,3.0,230000.0,1.0,160000.0,,
corp_1003965,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,652000.0,1.0,0.0,2.0,,,,,,,1.0,183000.0,2.0,588740.04,,
